Key,Example,Source,Context,Game Locations,vi,vi translator type,id,id translator type,it,it translator type,es,es translator type,pt,pt translator type,fr,fr translator type,de,de translator type,zh-hans,zh-hans translator type,ja,ja translator type,ko,ko translator type,ru,ru translator type,th,th translator type,tr,tr translator type,zh-hant,zh-hant translator type,pl,pl translator type
,,"Okazaki Taiiku",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.MapArtist","Taiiku Okazaki","Automation","Okazaki Taiiku","Automation","Taiiku di Okazaki","Automation","Okazaki Taiiku","Automation","Taiiku Okazaki","Automation","Taiiku Okazaki","Automation","Okazaki-Taiiku","Automation","冈崎太刀","Automation","オカザキタイク","Automation","오카자키 타이쿠","Automation","Окадзаки Тайику","Automation","โอคาซากิ ไทคิคุ","Automation","Okazaki Taiiku","Automation","大崎太古","Automation","Okazaki Taiiku","Automation"
,,"Playing Hanasaka Yui(CV - Harumachi Clover [Hard]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi Hanasaka Yui(CV - Cỏ ba lá Harumachi [Khó]","Automation","Bermain Hanasaka Yui(CV - Harumachi Clover [Keras]","Automation","Giocando a Hanasaka Yui(CV - Harumachi Clover [Difficile]","Automation","Jugando Hanasaka Yui(CV - Trébol de Harumachi [Difícil]","Automation","Jogando Hanasaka Yui(CV - Harumachi Clover [Difícil]","Automation","Jouer à Hanasaka Yui(CV - Harumachi Clover [Difficile]","Automation","Hanasaka Yui spielen(CV - Harumachi Klee [Schwer]","Automation","正在播放Hanasaka Yui(CV - Harumachi Clover [Hard]","Automation","Hanasaka Yuiをプレイ中(CV - ハルマチクローバー [ハード]","Automation","하나사카 유이 플레이 중(CV - 하루마치 클로버 [하드]","Automation","Играя в Hanasaka Yui(CV - Harumachi Clover [Hard]","Automation","กําลังเล่น Hanasaka Yui(CV - Harumachi Clover [ยาก]","Automation","Hanasaka Yui oynuyor(CV - Harumachi Clover [Zor]","Automation","正在遊玩 Hanasaka Yui(CV - Harumachi Clover [困難]","Automation","Grając Hanasaka Yui(CV - Harumachi Clover [Hard]","Automation"
,,"Playing umu. - Ai no Sukima [Normal]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi umu. - Ai no Sukima [Bình thường]","Automation","Memainkan umu. - Ai no Sukima [Normal]","Automation","Giocando a umu. - Ai no Sukima [Normale]","Automation","Jugando a umu. - Ai no Sukima [Normal]","Automation","Jogando umu. - Ai no Sukima [Normal]","Automation","Jouer à umu. - Ai no Sukima [Normal]","Automation","Umu spielen. - Ai no Sukima [Normal]","Automation","正在游玩尤莫游戏。 - 艾诺·苏基玛 [普通]","Automation","うむをプレイ中。 - アイ・ノ・スキマ [ノーマル]","Automation","우무 플레이 중. - 아이 노 수키마 [일반]","Automation","Играем в umu. - Ai no Sukima [Обычный]","Automation","กำลังเล่น umu. - Ai no Sukima [Normal]","Automation","Umu oynuyorum. - Ai no Sukima [Normal]","Automation","正在游玩尤莫游戏。 - 艾诺·苏基玛 [普通]","Automation","Graszę w umu. - Ai no Sukima [Normal]","Automation"
,,"Playing RoughSketch - {number1} [EXHAUST]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi RoughSketch - {number1} [EXHAUST]","Automation","Memainkan RoughSketch - {number1} [EXHAUST]","Automation","Giocando a RoughSketch - {number1} [EXHAUST]","Automation","Jugando a RoughSketch - {number1} [EXHAUST]","Automation","Jogando RoughSketch - {number1} [EXHAUST]","Automation","Jouer à RoughSketch - {number1} [EXHAUST]","Automation","RoughSketch spielen - {number1} [EXHAUST]","Automation","正在玩 RoughSketch - {number1} [EXHAUST]","Automation","ラフスケッチをプレイ中 - {number1} [排出]","Automation","러프 스케치 재생 중 - {number1} [EXHAUST]","Automation","Играть в RoughSketch - {number1} [ЭХАУСТ]","Automation","กําลังเล่น RoughSketch - {number1} [EXHAUST]","Automation","Kaba Çizim Oynanıyor - {number1} [ÇIKAR]","Automation","正在玩 RoughSketch - {number1} [EXHAUST]","Automation","Granie w RoughSketch - {number1} [EXHAUST]","Automation"
,,"SayMaxWell",,"PlayerGui.BeatmapListing.MainFrame_Animation.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.SongArtist","SayMaxWell","Automation","SayMaxWell","Automation","SayMaxWell","Automation","DiMaxWell","Automation","SayMaxWell","Automation","DisMaxBien","Automation","SayMaxWell","Automation","赛麦斯・韦尔","Automation","セイマックス・ウェルス","Automation","사이맥스우물","Automation","СкажиМаксВелл","Automation","ซายแม็กซ์เวลล์","Automation","SöyleMaxWell","Automation","SayMax井","Automation","PowiedzMaxWell","Automation"
,,"Hard!! mapped by Kagetsu",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.DifficultyName","Khó!! được lập bản đồ bởi Kagetsu","Automation","Keras!! dipetakan oleh Kagetsu","Automation","Difficile!! mappato da Kagetsu","Automation","¡Duro!! mapeado por Kagetsu","Automation","Difícil!! mapeado por Kagetsu","Automation","Difficile!! cartographié par Kagetsu","Automation","Schwer!! von Kagetsu abgebildet","Automation","困难!!由Kagetsu映射","Automation","難しい!! カゲツによってマッピング","Automation","하드!! 카게츠에 의해 맵핑","Automation","Тяжело!! нанесенный на карту Kagetsu","Automation","ยาก!! mapped โดย Kagetsu","Automation","Zor!! Kagetsu tarafından eşleştirildi","Automation","很難!由Kagetsu映射","Automation","Twardy!! zmapowany przez Kagetsu","Automation"
,,"Apocryphal Metempsychosis mapped by Halgoh",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","Apocryphal Metempsychosis được vẽ bởi Halgoh","Automation","Apocryphal Metempsychosis dipetakan oleh Halgoh","Automation","Metempsicosi apocrifa mappata da Halgoh","Automation","Metempsicosis apócrifa mapeada por Halgoh","Automation","Metempsicose Apócrifa mapeada por Halgoh","Automation","Métempsychose apocryphe cartographiée par Halgoh","Automation","Apokryphische Metempsychose von Halgoh kartiert","Automation","由Halgoh映射出的无形变态心理","Automation","ハルゴがマッピングしたアポクリフのメテプシコシス","Automation","Halgoh가 맵핑한 무지개의 기생충","Automation","Апокрифический метепсихоз, нанесенный Halgoh","Automation","Apocryphal Metempsychosis ทําแผนที่โดย Halgoh","Automation","Halgoh tarafından haritalananan Apokrif Metempsychosis","Automation","Halgoh 映射出的隱形變形症","Automation","Apokryficzna Metempsychoza nakreślona przez Halgoh","Automation"
,,"Hanasaka Yui(CV: M.A.O) - Harumachi Clover",,"PlayerGui.MenuInterface.UserProfile.UserProfile.ProfilePage.PerfomanceDisplay.Perfomance.DisplayFrame.SongName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Jean-Mi's MASTER mapped by Jean-Mi",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","Bản sao chủ của Jean-Mi được Jean-Mi lập ra","Automation","Master Jean-Mi diketahui oleh Jean-Mi","Automation","MAESTRO di Jean-Mi mappato da Jean-Mi","Automation","El MAESTRO de Jean-Mi fue mapeado por Jean-Mi","Automation","Mestre de Jean-Mi mapeado por Jean-Mi","Automation","Maître de Jean-Mi mappé par Jean-Mi","Automation","Jean-Mis MASTER von Jean-Mi entdeckt","Automation","Jean-Mi的大师由Jean-Mi制作","Automation","ジャン・ミのマスターはジャン・ミがマップ化","Automation","Jean-Mi의 마스터는 Jean-Mi가 매핑함","Automation","Мастер, названный Жан-Ми, был пройден Жан-Ми","Automation","ผู้เชียวชาญของ Jean-Mi ถูกจัดแผนโดย Jean-Mi","Automation","Jean-Mi'nin USTASI Jean-Mi tarafından haritalandı","Automation","Jean-Mi的大師由Jean-Mi製作","Automation","Mistrz Jean-Mi zlokalizowany przez Jean-Mi","Automation"
,,"Search options",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.FilterFrame.FilterFrame.TitleFrame.Title","Tùy chọn tìm kiếm","Automation","Opsi pencarian","Automation","Opzioni di ricerca","Automation","Opciones de búsqueda","Automation","Opções de pesquisa","Automation","Options de recherche","Automation","Suchoptionen","Automation","搜索选项","Automation","検索オプション","Automation","검색 옵션","Automation","Варианты поиска","Automation","ตัวเลือกการค้นหา","Automation","Arama seçenekleri","Automation","搜尋選項","Automation","Opcje wyszukiwania","Automation"
,,"-{number1}ps",,"PlayerGui.BG.DetailedBeatmapInformation.MainFrame.MainFrame.DifficultyData.TouchDeviceBonus.Data","- {number1}ps","Automation","- {number1}ps","Automation","- {number1}ps","Automation","- {number1}ps","Automation","- {number1}ps","Automation","- {number1}ps","Automation","- {number1}ps","Automation","- {number1} 秒","Automation","- {number1}ps","Automation","- {number1}ps","Automation","-{number1}пс","Automation","- {number1}ps","Automation","- {number1}ps","Automation","- {number1} 秒","Automation","- {number1}ps","Automation"
,,"Unbeatable mapped by Yudragen",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","Unbeatable được map bởi Yudragen","Automation","Tak terkalahkan dipetakan oleh Yudragen","Automation","Imbattibile mappato da Yudragen","Automation","Imbatible asignado por Yudragen","Automation","Imbatível mapeado por Yudragen","Automation","Imbattable cartographié par Yudragen","Automation","Unschlagbar gemappt von Yudragen","Automation","由Yudragen映射的不可击败","Automation","Yudragenがマッピングした無敵","Automation","Yudragen이 매핑한 무적","Automation","Непобедимый, нанесенный Юдрагеном","Automation","Unbeatable mapped โดย Yudragen","Automation","Yudragen tarafından eşleştirilen yenilmez","Automation","由Yudragen繪製的無敵","Automation","Niezwyciężony na mapie przez Yudragen","Automation"
,,"Chaos mapped by Luscent",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Hỗn loạn được ánh xạ bởi Luscent","Automation","Kekacauan dipetakan oleh Luscent","Automation","Caos mappato da Luscent","Automation","Caos mapeado por Luscent","Automation","Caos mapeado por Luscent","Automation","Chaos cartographié par Luscent","Automation","Chaos von Luscent abgebildet","Automation","由 Luscent 映射的混沌","Automation","Luscentによってマッピングされたカオス","Automation"," Luscent가 맵핑한 혼돈","Automation","Хаос, нанесенный на карту Luscent","Automation","ความโกลาหลถูกทําแผนที่โดย Luscent","Automation","Luscent tarafından eşleştirilen kaos","Automation","由 Luscent 映射的混沌","Automation","Chaos zmapowany przez Luscent","Automation"
,,"Playing succducc - me & u [thiinggs]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi succducc - tôi & u [thiinggs]","Automation","Bermain succducc - saya & u [thiinggs]","Automation","Giocando succducc - me & u [thiinggs]","Automation","Jugando succducc - me & u [thiinggs]","Automation","Jogando succducc - me & u [thiinggs]","Automation","Jouer à succducc - me & u [thiinggs]","Automation","succducc spielen - ich & u [thiinggs]","Automation","正在播放 succducc - 我 & u [thiinggs]","Automation","サックスダックをプレイ中 - 私とあなた [thiinggs]","Automation","succducc 플레이 중 - me & u [thiinggs]","Automation","Играя в succducc - me & u [thiinggs]","Automation","เล่น succducc - ฉัน & u [thiinggs]","Automation","succducc çalıyor - ben ve sen [thiinggs]","Automation","正在播放 succducc - 我 & u [thiinggs]","Automation","Gra w succducc - ja i ty [thiinggs]","Automation"
,,"Loli's Extra mapped by Loli",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Bổ sung của Loli được Loli lập bản đồ","Automation","Loli's Extra dipetakan oleh Loli","Automation","Extra di Loli mappato da Loli","Automation","El Extra de Loli mapeado por Loli","Automation","Extra de Loli mapeado por Loli","Automation","Extra de Loli mappé par Loli","Automation","Loli's Extra von Loli abgebildet","Automation","Loli的额外地图由Loli绘制","Automation","LoliによってマッピングされたLoli's Extra","Automation","Loli의 엑스트라가 Loli에 의해 매핑되었습니다","Automation","Loli's Extra нанесен на карту Loli","Automation","Loli's Extra ถูก mapped โดย Loli","Automation","Loli tarafından eşleştirilen Loli'nin Ekstra","Automation","由Loli映射的Loli's Extra","Automation","Dodatek Loli zmapowany przez Loli","Automation"
,,"VTNTGAMES",,"PlayerGui.LoadUI.DeveloperLogo.Base.Main.TextLabel","VTNTGAMES","User","PERMAINAN VTNT","Automation","GIOCHI VTNT","Automation","JUEGOS VTNT","Automation","JOGOS VTNT","Automation","JEUX VTNT","Automation","VTNT SPIELE","Automation","VTNT游戏","Automation","VTNTゲーム","Automation","VTNT게임","Automation","ИГРЫ VTNT","Automation","VTNTเกม","Automation","VTNT OYUNLARI","Automation","VTNT遊戲","Automation","VTNTGRY","Automation"
,,"StarR's C-TYPE mapped by Nakano Itsuki",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","StarR's C-TYPE được vẽ bởi Nakano Itsuki","Automation","C-TYPE StarR dipetakan oleh Nakano Itsuki","Automation","C-TYPE di StarR mappato da Nakano Itsuki","Automation","StarR's C-TYPE mapeado por Nakano Itsuki","Automation","StarR's C-TYPE mapeado por Nakano Itsuki","Automation","C-TYPE de StarR cartographié par Nakano Itsuki","Automation","StarR's C-TYPE von Nakano Itsuki","Automation","StarR 的 C-TYPE 由 Nakano Itsuki 绘制","Automation","Nakano ItsukiがマッピングしたStarRのCタイプ","Automation","나카노 이uki이 (Nakano Itsuki) 가 맵핑한 StarR의 C-TYPE","Automation","C-TYPE StarR, созданный Накано Ицуки","Automation","StarR's C-TYPE ทําแผนที่โดย Nakano Itsuki","Automation","StarR'in C-TYPE'si Nakano Itsuki tarafından haritalandı","Automation","Nakano Itsuki 繪製了 StarR 的 C-TYPE","Automation","StarR's C-TYPE mapowane przez Nakano Itsuki","Automation"
,,"mapset by eiri-",,"PlayerGui.BeatmapListing.MainFrame_Animation.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.MapperName","mapset bởi eiri-","Automation","set peta oleh eiri-","Automation","mapset di eiri-","Automation","mapa por eiri-","Automation","mapset por eiri-","Automation","mapset par eiri-","Automation","mapset von eiri-","Automation","mapset 制作:eiri-","Automation","eiri-のマップセット","Automation","eiri-이 제작한 맵 세트","Automation","набор карт от eiri-","Automation","mapset โดย eiri-","Automation","eiri- tarafından haritalar","Automation","mapset 製作:eiri-","Automation","zestaw map autorstwa eiri-","Automation"
